"1983","Belgium","10.7",":"
"1984","Belgium","10.8",":"
"1985","Belgium","10.1",":"
"1986","Belgium","10.0",":"
"1987","Belgium","9.8",":"
"1988","Belgium","8.8",":"
"1989","Belgium","7.4",":"
"1990","Belgium","6.6",":"
"1991","Belgium","6.4",":"
"1992","Belgium","7.1",":"
"1993","Belgium","8.6",":"
"1994","Belgium","9.8",":"
"1995","Belgium","9.7","11"
"1996","Belgium","9.5","10"
"1997","Belgium","9.2","12"
"1998","Belgium","9.3","11"
"1999","Belgium","8.5","12"
"2000","Belgium","6.9","10"
"2001","Belgium","6.6","8"
"2002","Belgium","7.5","12"
"2003","Belgium","8.2","9"
"2004","Belgium","8.4","9"
"2005","Belgium","8.5","5"
"2006","Belgium","8.3","5"
"2007","Belgium","7.5","6"
"2008","Belgium","7.0","-4"
"2009","Belgium","7.9","-4"
"2010","Belgium","8.3","6"
"2011","Belgium","7.2","-4"
"2012","Belgium","7.6","-5"
"1983","Bulgaria",":",":"
"1984","Bulgaria",":",":"
"1985","Bulgaria",":",":"
"1986","Bulgaria",":",":"
"1987","Bulgaria",":",":"
"1988","Bulgaria",":",":"
"1989","Bulgaria",":",":"
"1990","Bulgaria",":",":"
"1991","Bulgaria",":","50"
"1992","Bulgaria",":","-245"
"1993","Bulgaria",":","-938"
"1994","Bulgaria",":","-47"
"1995","Bulgaria",":","-22"
"1996","Bulgaria",":","13"
"1997","Bulgaria",":","485"
"1998","Bulgaria",":","-29"
"1999","Bulgaria",":","-586"
"2000","Bulgaria","16.4","-757"
"2001","Bulgaria","19.5","-859"
"2002","Bulgaria","18.2","-402"
"2003","Bulgaria","13.7","-975"
"2004","Bulgaria","12.1","-1"
"2005","Bulgaria","10.1","-2"
"2006","Bulgaria","9.0","-4"
"2007","Bulgaria","6.9","-7"
"2008","Bulgaria","5.6","-8"
"2009","Bulgaria","6.8","-3"
"2010","Bulgaria","10.3","-534"
"2011","Bulgaria","11.3","40"
"2012","Bulgaria","12.3","-527"
"1983","Czech Republic",":",":"
"1984","Czech Republic",":",":"
"1985","Czech Republic",":",":"
"1986","Czech Republic",":",":"
"1987","Czech Republic",":",":"
"1988","Czech Republic",":",":"
"1989","Czech Republic",":",":"
"1990","Czech Republic",":",":"
"1991","Czech Republic",":",":"
"1992","Czech Republic",":",":"
"1993","Czech Republic",":","376"
"1994","Czech Republic",":","-652"
"1995","Czech Republic",":","-1"
"1996","Czech Republic",":","-3"
"1997","Czech Republic",":","-3"
"1998","Czech Republic","6.5","-1"
"1999","Czech Republic","8.7","-1"
"2000","Czech Republic","8.8","-2"
"2001","Czech Republic","8.1","-3"
"2002","Czech Republic","7.3","-4"
"2003","Czech Republic","7.8","-5"
"2004","Czech Republic","8.3","-4"
"2005","Czech Republic","7.9","-1"
"2006","Czech Republic","7.1","-2"
"2007","Czech Republic","5.3","-5"
"2008","Czech Republic","4.4","-3"
"2009","Czech Republic","6.7","-3"
"2010","Czech Republic","7.3","-5"
"2011","Czech Republic","6.7","-4"
"2012","Czech Republic","7.0","-3"
"1983","Denmark","8.4","-1"
"1984","Denmark","7.9","-2"
"1985","Denmark","6.7","-3"
"1986","Denmark","5.0","-4"
"1987","Denmark","5.0","-2"
"1988","Denmark","5.7","-1"
"1989","Denmark","6.8","-1"
"1990","Denmark","7.2","435"
"1991","Denmark","7.9","962"
"1992","Denmark","8.6","2"
"1993","Denmark","9.6","3"
"1994","Denmark","7.7","1"
"1995","Denmark","6.7","954"
"1996","Denmark","6.3","2"
"1997","Denmark","5.2","917"
"1998","Denmark","4.9","-1"
"1999","Denmark","5.2","3"
"2000","Denmark","4.3","2"
"2001","Denmark","4.5","5"
"2002","Denmark","4.6","4"
"2003","Denmark","5.4","6"
"2004","Denmark","5.5","5"
"2005","Denmark","4.8","9"
"2006","Denmark","3.9","6"
"2007","Denmark","3.8","3"
"2008","Denmark","3.4","6"
"2009","Denmark","6.0","7"
"2010","Denmark","7.5","13"
"2011","Denmark","7.6","13"
"2012","Denmark","7.5","12"
"1983","Germany (until 1990 former territory of the FRG)",":","4"
"1984","Germany (until 1990 former territory of the FRG)",":","12"
"1985","Germany (until 1990 former territory of the FRG)",":","23"
"1986","Germany (until 1990 former territory of the FRG)",":","39"
"1987","Germany (until 1990 former territory of the FRG)",":","38"
"1988","Germany (until 1990 former territory of the FRG)",":","45"
"1989","Germany (until 1990 former territory of the FRG)",":","51"
"1990","Germany (until 1990 former territory of the FRG)",":","37"
"1991","Germany (until 1990 former territory of the FRG)","5.5","-19"
"1992","Germany (until 1990 former territory of the FRG)","6.6","-17"
"1993","Germany (until 1990 former territory of the FRG)","7.8","-16"
"1994","Germany (until 1990 former territory of the FRG)","8.5","-25"
"1995","Germany (until 1990 former territory of the FRG)","8.3","-22"
"1996","Germany (until 1990 former territory of the FRG)","8.9","-11"
"1997","Germany (until 1990 former territory of the FRG)","9.7","-8"
"1998","Germany (until 1990 former territory of the FRG)","9.4","-14"
"1999","Germany (until 1990 former territory of the FRG)","8.6","-25"
"2000","Germany (until 1990 former territory of the FRG)","8.0","-35"
"2001","Germany (until 1990 former territory of the FRG)","7.9","-12"
"2002","Germany (until 1990 former territory of the FRG)","8.7","42"
"2003","Germany (until 1990 former territory of the FRG)","9.8","40"
"2004","Germany (until 1990 former territory of the FRG)","10.5","102"
"2005","Germany (until 1990 former territory of the FRG)","11.3","112"
"2006","Germany (until 1990 former territory of the FRG)","10.3","144"
"2007","Germany (until 1990 former territory of the FRG)","8.7","180"
"2008","Germany (until 1990 former territory of the FRG)","7.5","153"
"2009","Germany (until 1990 former territory of the FRG)","7.8","141"
"2010","Germany (until 1990 former territory of the FRG)","7.1","155"
"2011","Germany (until 1990 former territory of the FRG)","5.9","161"
"2012","Germany (until 1990 former territory of the FRG)","5.5","185"
"1983","Estonia",":",":"
"1984","Estonia",":",":"
"1985","Estonia",":",":"
"1986","Estonia",":",":"
"1987","Estonia",":",":"
"1988","Estonia",":",":"
"1989","Estonia",":",":"
"1990","Estonia",":",":"
"1991","Estonia",":",":"
"1992","Estonia",":",":"
"1993","Estonia",":","17"
"1994","Estonia",":","-139"
"1995","Estonia",":","-122"
"1996","Estonia",":","-314"
"1997","Estonia",":","-498"
"1998","Estonia",":","-429"
"1999","Estonia",":","-230"
"2000","Estonia","13.6","-331"
"2001","Estonia","12.6","-361"
"2002","Estonia","10.3","-825"
"2003","Estonia","10.1","-986"
"2004","Estonia","9.7","-1"
"2005","Estonia","7.9","-1"
"2006","Estonia","5.9","-2"
"2007","Estonia","4.6","-2"
"2008","Estonia","5.5","-1"
"2009","Estonia","13.8","470"
"2010","Estonia","16.9","420"
"2011","Estonia","12.5","339"
"2012","Estonia","10.2","-205"
"1983","Ireland","13.9","-1"
"1984","Ireland","15.5","-1"
"1985","Ireland","16.8","-913"
"1986","Ireland","16.8","-828"
"1987","Ireland","16.6","-81"
"1988","Ireland","16.2","76"
"1989","Ireland","14.7","-449"
"1990","Ireland","13.4","-294"
"1991","Ireland","14.7","277"
"1992","Ireland","15.4","426"
"1993","Ireland","15.6","1"
"1994","Ireland","14.3","1"
"1995","Ireland","12.3","1"
"1996","Ireland","11.7","1"
"1997","Ireland","9.9","1"
"1998","Ireland","7.5","634"
"1999","Ireland","5.6","225"
"2000","Ireland","4.2","-379"
"2001","Ireland","3.9","-757"
"2002","Ireland","4.5","-1"
"2003","Ireland","4.6","-2"
"2004","Ireland","4.5","-867"
"2005","Ireland","4.4","-5"
"2006","Ireland","4.5","-6"
"2007","Ireland","4.7","-10"
"2008","Ireland","6.4","-10"
"2009","Ireland","12.0","-3"
"2010","Ireland","13.9","1"
"2011","Ireland","14.7","1"
"2012","Ireland","14.7","8"
"1983","Greece",":","-2"
"1984","Greece",":","-2"
"1985","Greece",":","-4"
"1986","Greece",":","-1"
"1987","Greece",":","-1"
"1988","Greece",":","-726"
"1989","Greece",":","-2"
"1990","Greece",":","-2"
"1991","Greece",":","-1"
"1992","Greece",":","-1"
"1993","Greece",":","-624"
"1994","Greece",":","-167"
"1995","Greece",":","-2"
"1996","Greece",":","-3"
"1997","Greece",":","-4"
"1998","Greece","11.1","-3"
"1999","Greece","12.0","-4"
"2000","Greece","11.2","-10"
"2001","Greece","10.7","-10"
"2002","Greece","10.3","-10"
"2003","Greece","9.7","-11"
"2004","Greece","10.5","-10"
"2005","Greece","9.9","-14"
"2006","Greece","8.9","-23"
"2007","Greece","8.3","-32"
"2008","Greece","7.7","-34"
"2009","Greece","9.5","-25"
"2010","Greece","12.6","-22"
"2011","Greece","17.7","-20"
"2012","Greece","24.3","-5"
"1983","Spain",":",":"
"1984","Spain",":",":"
"1985","Spain",":",":"
"1986","Spain",":",":"
"1987","Spain","18.5",":"
"1988","Spain","17.5",":"
"1989","Spain","15.5",":"
"1990","Spain","14.4","-14"
"1991","Spain","14.5","-16"
"1992","Spain","16.3","-16"
"1993","Spain","20.1","-4"
"1994","Spain","21.3","-5"
"1995","Spain","20.0","-1"
"1996","Spain","19.1","-1"
"1997","Spain","17.8","-473"
"1998","Spain","15.9","-6"
"1999","Spain","13.2","-16"
"2000","Spain","11.7","-24"
"2001","Spain","10.5","-26"
"2002","Spain","11.4","-23"
"2003","Spain","11.4","-27"
"2004","Spain","10.9","-44"
"2005","Spain","9.2","-66"
"2006","Spain","8.5","-88"
"2007","Spain","8.3","-105"
"2008","Spain","11.3","-104"
"2009","Spain","18.0","-50"
"2010","Spain","20.1","-46"
"2011","Spain","21.7","-39"
"2012","Spain","25.0","-11"
"1983","France","7.1",":"
"1984","France","8.5",":"
"1985","France","8.9",":"
"1986","France","9.1",":"
"1987","France","9.3",":"
"1988","France","8.8",":"
"1989","France","8.4",":"
"1990","France","8.0",":"
"1991","France","8.4",":"
"1992","France","9.3",":"
"1993","France","10.6",":"
"1994","France","11.1","6"
"1995","France","10.5","8"
"1996","France","11.0","16"
"1997","France","11.1","34"
"1998","France","10.7","36"
"1999","France","10.4","35"
"2000","France","9.0","17"
"2001","France","8.2","25"
"2002","France","8.3","15"
"2003","France","8.9","7"
"2004","France","9.3","8"
"2005","France","9.3","-8"
"2006","France","9.2","-10"
"2007","France","8.4","-18"
"2008","France","7.8","-33"
"2009","France","9.5","-25"
"2010","France","9.7","-30"
"2011","France","9.6","-38"
"2012","France","10.2","-46"
"1983","Italy","7.4","713"
"1984","Italy","7.9","-2"
"1985","Italy","8.2","-4"
"1986","Italy","8.9","1"
"1987","Italy","9.6","-1"
"1988","Italy","9.7","-4"
"1989","Italy","9.7","-7"
"1990","Italy","8.9","-10"
"1991","Italy","8.5","-15"
"1992","Italy","8.8","-19"
"1993","Italy","9.7","6"
"1994","Italy","10.6","10"
"1995","Italy","11.2","18"
"1996","Italy","11.2","30"
"1997","Italy","11.2","29"
"1998","Italy","11.3","20"
"1999","Italy","10.9","11"
"2000","Italy","10.0","-2"
"2001","Italy","9.0","3"
"2002","Italy","8.5","-5"
"2003","Italy","8.4","-10"
"2004","Italy","8.0","-4"
"2005","Italy","7.7","-12"
"2006","Italy","6.8","-22"
"2007","Italy","6.1","-19"
"2008","Italy","6.7","-44"
"2009","Italy","7.8","-30"
"2010","Italy","8.4","-54"
"2011","Italy","8.4","-48"
"2012","Italy","10.7","-11"
"1983","Cyprus",":",":"
"1984","Cyprus",":",":"
"1985","Cyprus",":",":"
"1986","Cyprus",":",":"
"1987","Cyprus",":",":"
"1988","Cyprus",":",":"
"1989","Cyprus",":",":"
"1990","Cyprus",":",":"
"1991","Cyprus",":",":"
"1992","Cyprus",":",":"
"1993","Cyprus",":",":"
"1994","Cyprus",":",":"
"1995","Cyprus",":","-159"
"1996","Cyprus",":","-373"
"1997","Cyprus",":","-367"
"1998","Cyprus",":","258"
"1999","Cyprus",":","-159"
"2000","Cyprus","4.8","-535"
"2001","Cyprus","3.9","-351"
"2002","Cyprus","3.5","-418"
"2003","Cyprus","4.1","-266"
"2004","Cyprus","4.6","-635"
"2005","Cyprus","5.3","-800"
"2006","Cyprus","4.6","-1"
"2007","Cyprus","3.9","-1"
"2008","Cyprus","3.7","-2"
"2009","Cyprus","5.4","-1"
"2010","Cyprus","6.3","-1"
"2011","Cyprus","7.9","-849"
"2012","Cyprus","11.9","-2"
"1983","Latvia",":",":"
"1984","Latvia",":",":"
"1985","Latvia",":",":"
"1986","Latvia",":",":"
"1987","Latvia",":",":"
"1988","Latvia",":",":"
"1989","Latvia",":",":"
"1990","Latvia",":",":"
"1991","Latvia",":",":"
"1992","Latvia",":",":"
"1993","Latvia",":","359"
"1994","Latvia",":","170"
"1995","Latvia",":","-12"
"1996","Latvia",":","-220"
"1997","Latvia",":","-306"
"1998","Latvia","14.3","-572"
"1999","Latvia","14.0","-608"
"2000","Latvia","13.7","-412"
"2001","Latvia","12.9","-707"
"2002","Latvia","12.8","-653"
"2003","Latvia","11.3","-814"
"2004","Latvia","11.2","-1"
"2005","Latvia","9.6","-1"
"2006","Latvia","7.3","-3"
"2007","Latvia","6.5","-4"
"2008","Latvia","8.0","-3"
"2009","Latvia","18.2","1"
"2010","Latvia","19.8","532"
"2011","Latvia","16.2","-434"
"2012","Latvia","14.9","-371"
"1983","Lithuania",":",":"
"1984","Lithuania",":",":"
"1985","Lithuania",":",":"
"1986","Lithuania",":",":"
"1987","Lithuania",":",":"
"1988","Lithuania",":",":"
"1989","Lithuania",":",":"
"1990","Lithuania",":",":"
"1991","Lithuania",":",":"
"1992","Lithuania",":",":"
"1993","Lithuania",":","-73"
"1994","Lithuania",":","-92"
"1995","Lithuania",":","-472"
"1996","Lithuania",":","-569"
"1997","Lithuania",":","-866"
"1998","Lithuania","13.2","-1"
"1999","Lithuania","14.6","-1"
"2000","Lithuania","16.4","-738"
"2001","Lithuania","17.4","-640"
"2002","Lithuania","13.8","-772"
"2003","Lithuania","12.4","-1"
"2004","Lithuania","11.3","-1"
"2005","Lithuania","8.0","-1"
"2006","Lithuania","5.2","-2"
"2007","Lithuania","3.8","-4"
"2008","Lithuania","5.3","-4"
"2009","Lithuania","13.6","996"
"2010","Lithuania","18.0","20"
"2011","Lithuania","15.3","-1"
"2012","Lithuania","13.3","-167"
"1983","Luxembourg","3.4",":"
"1984","Luxembourg","3.0",":"
"1985","Luxembourg","2.9",":"
"1986","Luxembourg","2.6",":"
"1987","Luxembourg","2.5",":"
"1988","Luxembourg","2.0",":"
"1989","Luxembourg","1.8",":"
"1990","Luxembourg","1.7",":"
"1991","Luxembourg","1.6",":"
"1992","Luxembourg","2.1",":"
"1993","Luxembourg","2.6",":"
"1994","Luxembourg","3.2",":"
"1995","Luxembourg","2.9","1"
"1996","Luxembourg","2.9","1"
"1997","Luxembourg","2.7","1"
"1998","Luxembourg","2.7","1"
"1999","Luxembourg","2.4","1"
"2000","Luxembourg","2.2","2"
"2001","Luxembourg","1.9","1"
"2002","Luxembourg","2.6","2"
"2003","Luxembourg","3.8","2"
"2004","Luxembourg","5.0","3"
"2005","Luxembourg","4.6","3"
"2006","Luxembourg","4.6","3"
"2007","Luxembourg","4.2","3"
"2008","Luxembourg","4.9","2"
"2009","Luxembourg","5.1","2"
"2010","Luxembourg","4.6","3"
"2011","Luxembourg","4.8","3"
"2012","Luxembourg","5.1","2"
"1983","Hungary",":",":"
"1984","Hungary",":",":"
"1985","Hungary",":",":"
"1986","Hungary",":",":"
"1987","Hungary",":",":"
"1988","Hungary",":",":"
"1989","Hungary",":",":"
"1990","Hungary",":",":"
"1991","Hungary",":",":"
"1992","Hungary",":",":"
